name,g_bar,g_obs,r_frac
CamB,925.0739242398133,925.0739242398133,0.016949152770648568
CamB,925.0739103812963,925.0739103812963,0.050847460235983716
CamB,925.0738965698179,925.0738965698179,0.08474576192920487
CamB,925.0739923822377,925.0739923822377,0.11864406362242601
CamB,925.0739959811168,925.0739959811168,0.15254238070795112
CamB,925.0740478244223,925.0740478244223,0.18644066700886835
CamB,925.0740606268073,925.0740606268073,0.22033898409439345
CamB,925.0740253862846,925.0740253862846,0.25423728578761456
CamB,925.0738586175512,925.0738586175512,0.28813558748083573
CamB,925.0740102920097,925.0740102920097,0.3220339045663609
CamB,925.0740013564782,925.0740013564782,0.35593219086727806
CamB,911.5298359519659,911.5298359519659,0.38983047716819524
CamB,897.7816275604953,897.7816275604953,0.4237288250383283
CamB,883.8192761701491,883.8192761701491,0.4576271113392455
CamB,869.6329523927424,869.6329523927424,0.4915253976401627
CamB,855.2114573215832,855.2114573215832,0.5254237455102957
CamB,840.542293355458,840.542293355458,0.5593220318112129
CamB,825.6127758878047,825.6127758878047,0.59322031811213
CamB,810.4081664074379,810.4081664074379,0.6271186659822631
CamB,794.9128123150599,794.9128123150599,0.6610169522831804
CamB,779.1092271889065,779.1092271889065,0.6949152385840975
CamB,762.9785126867666,762.9785126867666,0.7288135248850147
CamB,746.4993196327855,746.4993196327855,0.7627118111859319
CamB,729.6478455050885,729.6478455050885,0.7966101590560648
CamB,712.3980441841923,712.3980441841923,0.8305084453569821
CamB,712.398046437593,712.398046437593,0.8644067932271151
CamB,712.3980657454349,712.3980657454349,0.8983050795280324
CamB,712.3980016275516,712.3980016275516,0.9322033658289497
CamB,712.3980490722456,712.3980490722456,0.9661016521298667
CamB,712.3981207137654,712.3981207137654,1.0
D512-2,277.28502443283,1040.667070064716,0.016949152389962023
D512-2,277.2850093795444,1040.6670208732562,0.050847458968334196
D512-2,277.2849760061844,1040.666993802056,0.08474576734515447
D512-2,277.2850076154073,1040.6670578382782,0.11864406852818228
D512-2,277.28502152545104,1040.6670418937094,0.15254238409879506
D512-2,277.2849940529904,1040.6669873505289,0.18644068528182287
D512-2,277.76398515554234,1012.9656488650754,0.22033898646485073
D512-2,278.2421297091749,984.13925165527,0.25423728764787845
D512-2,278.719447523636,954.0417565075362,0.2881355888309063
D512-2,279.1959895068799,922.491758148797,0.322033918789104
D512-2,279.6716709573596,889.260772517319,0.3559322199721318
D512-2,280.1465889581358,854.052632176497,0.38983052115515965
D512-2,273.3951998065684,790.6367687730569,0.4237288223381874
D512-2,266.4727944283624,720.0249558355608,0.45762712352121526
D512-2,259.3657308878938,638.6812660769092,0.49152542470424293
D512-2,252.0583338574745,538.5038166887294,0.5254237258872708
D512-2,243.95017092012046,507.2654996416085,0.5593220270702987
D512-2,235.56308672226805,473.5103921362037,0.5932203282533265
D512-2,226.8661344083171,436.3962787112451,0.627118686986694
D512-2,218.5408347745812,405.29306942199975,0.661016988169722
D512-2,209.88552251530686,370.6646358604972,0.6949152893527497
D512-2,204.27447102684508,365.12186433687606,0.7288135905357775
D512-2,198.50492917134906,359.42063149335064,0.7627118917188054
D512-2,192.5625877021422,353.5465301314661,0.7966101929018331
D512-2,186.43091412880506,347.48310513416214,0.830508494084861
D512-2,180.09059501464398,341.2109618842458,0.8644067952678887
D512-2,172.9418426088607,304.20644366094655,0.8983050964509165
D512-2,165.48451948539224,257.6854674562946,0.9322033976339444
D512-2,165.4845026129741,257.68544031120916,0.9661016988169722
D512-2,165.48452356927322,257.68546662896375,1.0
D564-8,279.37961811452135,555.3303056282605,0.01694915372124858
D564-8,279.3796167898802,555.3303446587486,0.050847463407412384
D564-8,279.3796718342422,555.3304142554354,0.08474576636257625
D564-8,279.3796299264404,555.3303195740577,0.1186440693177401
D564-8,279.37962746236207,555.3303710178067,0.15254237227290396
D564-8,279.37964386875035,555.3303739882836,0.186440693177401
D564-8,279.3796565033995,555.3303832773184,0.22033899613256488
D564-8,274.29462465705376,542.2424552673968,0.2542372990877287
D564-8,269.1134967533108,528.8118794812924,0.28813561999222576
D564-8,263.8307567991281,515.0089610000928,0.3220339408967228
D564-8,258.4399045667267,500.79858122841745,0.3559322259025535
D564-8,252.93428362860246,486.14008408702443,0.3898305109083841
D564-8,247.3060669692514,470.9848026482627,0.42372883181288123
D564-8,241.5467835244373,455.2742031118137,0.4576271527173782
D564-8,235.64679642710158,438.936352938267,0.4915254736218753
D564-8,220.72245595082782,398.8786021002231,0.525423758627706
D564-8,204.71298854800992,353.5504386254315,0.559322079532203
D564-8,187.340346160915,299.43657699825644,0.5932204004367
D564-8,168.18263319486795,222.75857935540674,0.6271186854425308
D564-8,158.53751549255642,216.87911090378887,0.661016934549695
D564-8,148.26628256161024,210.14478363712448,0.6949153272515248
D564-8,137.22838313571705,202.4522782431679,0.7288135763586893
D564-8,125.22128722783467,193.62716365977442,0.762711969060519
D564-8,120.0728247101906,176.93227957967585,0.7966102181676833
D564-8,114.69346741175511,156.9620132918474,0.8305084672748475
D564-8,109.04910466112487,127.49536246724239,0.8644068599766773
D564-8,109.04910395833208,127.49536121268375,0.8983051090838416
D564-8,109.04910506511156,127.49536175200085,0.9322035017856715
D564-8,109.04909402564107,127.49534880383261,0.9661017508928358
D564-8,109.04911451719956,127.49536773842225,1.0
D631-7,1489.7104631397383,11544.513360720392,0.01694915257484763
D631-7,1489.7104013282565,11544.51382736954,0.05084745580853292
D631-7,1489.7105422523243,11544.512532668736,0.08474576479024812
D631-7,1441.6021824923118,10695.204790840002,0.11864406610792344
D631-7,1391.8322157993994,9767.941474255524,0.1525423827536785
D631-7,1340.2154181391923,8735.434838686862,0.18644067640731393
D631-7,1253.6379521517304,7475.571841057217,0.22033897006094938
D631-7,1160.6201356580434,5928.811987658965,0.2542372943707443
D631-7,1059.466777175948,3659.2441680943175,0.2881355880243798
D631-7,860.7289159473353,3191.5270285290326,0.3220338816780152
D631-7,814.4996163799121,2641.716574107701,0.35593220598781017
D631-7,765.4836455714496,1881.1997912017328,0.3898304996414456
D631-7,695.6953857253413,2201.2129006805026,0.42372882395124056
D631-7,618.0769640980184,2431.45626814696,0.457627117604876
D631-7,540.2835556494756,1101.0098694458086,0.4915254112585114
D631-7,493.52517586990126,955.5204898915556,0.5254237049121468
D631-7,441.8460516590974,777.2045265597787,0.5593219985657822
D631-7,381.8747672560387,1348.68883061151,0.5932203535317367
