name,M_b,V_flat
NGC3949,,159.60564374811923
NGC4051,,151.39246427901404
F574-1,,91.0679497638244
UGCA281,,31.063525959670123
F568-1,,120.8645360847955
UGC07151,,67.29128014047882
NGC4085,,128.59350044829068
UGC10310,,65.44382024248631
UGC12632,,64.31121926009669
UGC05918,,38.750686039504735
UGC06667,,78.51893804321631
NGC0055,,78.21121250725281
NGC6195,,259.38247474063724
F563-V1,,31.39322646979548
NGC3953,,194.36855297935512
UGC07261,,75.4966364341303
UGC05986,,97.31233336889161
UGC06923,,73.35504856290405
UGC05414,,53.26827568184303
DDO168,,47.84814054240775
UGC00731,,64.7371248764735
UGC11914,,248.24258249355165
UGC07399,,80.27119033816896
UGC07524,,69.47899830674217
UGC04325,,78.78451070998602
UGC06917,,90.3689437870174
UGC02916,,167.21395468662064
UGC06930,,92.03483514974641
D512-2,,33.15991792890729
UGC05764,,48.306023662630885
NGC3877,,149.36440526661102
NGC0891,,182.4189879936606
UGC04499,,62.77497398562245
UGCA444,,27.950254359117658
F567-2,,60.046280051648814
UGC06983,,90.52054673111503
UGC09037,,144.40982903203962
UGC07577,,15.742389403845394
NGC4100,,145.69545367317335
NGC2683,,124.6895786689397
NGC0100,,77.58596318782499
NGC5005,,311.8677309678982
NGC4010,,105.14290663519972
NGC6946,,133.73252735663712
NGC0801,,160.2559691782142
NGC4389,,89.68480490356448
NGC2998,,163.40321212582705
NGC6789,,54.335578957248664
F579-V1,,92.52430636512773
UGC07089,,63.732116575335226
DDO064,,43.22240037508115
F561-1,,58.193967819213874
NGC4217,,144.30174392435453
F583-4,,54.832472866939185
UGC11557,,83.34999170209443
UGC06446,,66.84372385362641
NGC5371,,165.45754634303282
UGC12506,,178.33717074893363
UGC05253,,159.41029064339506
F568-3,,90.09718822956698
NGC4559,,101.69103901260343
NGC4088,,152.64167968626182
UGC05829,,54.349458982427045
UGC09992,,41.655097129394534
NGC2955,,306.664158279497
IC4202,,190.45529929297174
UGC06628,,55.647950509203284
NGC5985,,216.74655520183308
UGC07125,,74.02145767211914
NGC4183,,83.93464960277487
NGC3893,,143.7240533205357
UGC02023,,47.77183379646641
F563-V2,,95.5499487921587
UGC07608,,53.79935904652369
NGC1090,,123.24724878319333
UGCA442,,43.55357936201806
F565-V2,,60.20538865560573
UGC07323,,66.68678077491586
NGC4157,,143.84839952228418
DDO170,,46.906030496660506
UGC06399,,66.40531412122454
F563-1,,83.63572718024867
NGC3109,,48.75752909949635
NGC0247,,80.75411541474774
UGC08837,,37.30695595488541
UGC05999,,75.87188107907102
UGC07603,,54.284850936433784
UGC08286,,69.35834243131393
UGC02487,,273.1142379880415
KK98-251,,28.28893356268766
UGC00891,,47.441073951965926
UGC01281,,44.09935109898791
IC2574,,49.428069705247054
NGC3972,,104.03487225255847
NGC6503,,93.79427197521323
UGC02259,,65.58993491112301
NGC2903,,143.04361896858552
UGC00634,,83.94346677678482
UGC12732,,78.62070274704698
UGC02885,,209.02328077399852
F571-V1,,63.776664433158146
NGC7814,,184.1305584604919
ESO079-G014,,135.025422025661
UGC05716,,61.59916858567008
F568-V1,,85.11878553373349
NGC3917,,101.98198021519977
NGC3992,,168.83587614245107
NGC0300,,70.59889312662258
NGC4013,,124.84147545010198
D564-8,,20.04535666217837
NGC5907,,150.8440426842888
NGC1003,,82.12050840694009
UGC04278,,65.9011792493009
NGC6015,,114.1006127260686
UGC06818,,64.92713277573407
ESO116-G012,,80.79818991112975
NGC5033,,132.76251299410103
NGC0289,,114.31655706071136
NGC7331,,174.67730839467214
NGC6674,,168.06837416008477
UGC01230,,77.32929712640694
ESO563-G021,,212.82627075434664
NGC2976,,85.88886956484353
F571-8,,99.92475163533013
UGC00128,,79.67981203855128
UGC07866,,36.49919128417969
NGC7793,,89.75489780766591
NGC5055,,124.81752588590709
UGC11820,,61.77374316679575
NGC5585,,74.57464942003494
F574-2,,47.63471221923828
UGC03546,,133.1642246163119
NGC2366,,54.420339584350586
NGC3521,,163.2837695315278
UGC07690,,72.42680358886719
NGC4214,,73.07244596237868
UGC09133,,292.98876310040237
DDO161,,56.09311401866386
F583-1,,65.77934897880354
UGC00191,,67.75616299349389
NGC3726,,119.95948151149233
UGC06973,,217.84095764160156
UGC11455,,192.02546048636404
UGC07559,,40.5136604309082
UGC08699,,125.61722621872144
UGC04305,,55.70697021484375
UGC06787,,153.84986675321943
D631-7,,53.58795331611047
UGC05750,,52.57426857218751
UGC07232,,66.67026138305664
NGC3769,,82.74115889073153
NGC4068,,46.921865463256836
UGC08550,,52.10104982523423
UGC05005,,65.88024613413765
UGC03205,,150.68145765951675
DDO154,,38.9360856644114
ESO444-G084,,42.93496914797116
NGC4138,,305.19124970285293
UGC06786,,140.85641309859574
NGC2841,,184.36797141299544
NGC3198,,104.46626797655287
UGC04483,,62.8236026763916
UGC03580,,89.19331880718195
PGC51017,,44.90436553955078
UGC08490,,54.37175004840326
NGC0024,,69.02550088716339
CamB,,35.52931594848633
UGC06614,,131.72197612557778
NGC2403,,153.24386816821385
UGC02455,,95.69003295898438
UGC02953,,169.63312278761526
NGC1705,,226.37672216691593
NGC2915,,75.07069397353763
UGC05721,,64.68906195345971
NGC3741,,231.42335403122192
